product_type,series,ai_coprocessor,ai_enabled,audio_feature,color,connectivity,cpu_clock,cpu_model,discount_percent,gpu_model,os,ports,ram,regular_price_sar,release_date,sale_price_sar,screen_refresh_rate_hz,screen_resolution,screen_size_inch,special_features,storage,webcam,weight_kg,product_url
Gaming Desktop CPU,MSI Infinite,Intel AI Boost,AI Enabled,,Black,Wi-Fi/Bluetooth,P-core: 3.9 - 5.4 GHz/E-core: 3.3 - 4.6 GHz,Intel Core Ultra 7 265K,11%,NVIDIA GeForce RTX 5080 (16 GB),Windows 11,HDMI/USB-A/USB-C,32 GB RAM,16999.0,,14999.0,,,,,1 TB PCIe NVMe M.2 SSD/1 TB HDD,,29.2,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650219.html
Gaming Laptop,Lenovo Legion,,,"Nahimic Sound, 2 X 2W Speakers",Onyx Grey,Wi-Fi/Bluetooth,3.7 GHz,Intel Core i7-14700HX (14th Gen),25%,NVIDIA GeForce RTX 4060 (8 GB),Windows 11,HDMI/USB 3.2/USB-C (DisplayPort 1.4)/RJ-45/Audio Combo Port,16 GB RAM,7999.0,2023,5999.0,QHD-LED IPS 165 Hz Display,2560 X 1600 (WQXGA),"16""",,1 TB PCIe NVMe M.2 SSD,FHD Webcam,2.50 kg ( 5.51 lb ),https://www.jarir.com/sa-en/lenovo-legion-pro-5-laptops-628022.html
2-in-1 Gaming Laptop - Convertible,Asus ROG Republic of Gamers,AMD Ryzen AI up to 50 TOPS,CoPilot+ PC,"2 X 2W Dual-force Speakers, Dolby Atmos",Off Black,Wi-Fi (7)/Bluetooth (5.4),3.2 GHz,AMD Ryzen AI MAX 390,16%,AMD Radeon Graphics,Windows 11 Home,HDMI 2.1/USB 3.2/USB-C (DisplayPort/PD)/3.5 mm Combo Audio Jack,32 GB RAM,8999.0,2024,7499.0,2.5K Display,2560 X 1600 (WQXGA),"13.4""",MUX Switch + NVIDIA Advanced Optimus,1 TB PCIe NVMe M.2 SSD,Rear: 5 MP (IR Camera)/Front: 13 MP,1.20 kg ( 2.65 lb ),https://www.jarir.com/sa-en/asus-rog-zephyrus-g16-laptops-648713.html
Gaming Desktop CPU,MSI Infinite,Intel AI Boost,AI Enabled,,Black,Wi-Fi/Bluetooth,3.3 GHz,Intel Core Ultra 7 265K,16%,NVIDIA GeForce RTX 5070 (12 GB),Windows 11,HDMI/USB-A/USB-C,32 GB RAM,11999.0,,9999.0,,,,,1 TB SSD,,29.24,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650218.html
Gaming Laptop,Asus ROG Republic of Gamers,AMD XDNA up to 50 TOPS,CoPilot+ PC,4 Speaker (Dual-force Woofer)/2 Tweeters,Platinum White,Wi-Fi (7)/Bluetooth (5.4),2.0 GHz,AMD Ryzen AI 9 HX 370,17%,NVIDIA GeForce RTX 4070 (8 GB),Windows 11 Home,HDMI 2.1/USB 3.2/USB-C (DisplayPort)/Audio Combo Port,32 GB RAM,10699.0,2024,8799.0,2.5K WQXGA OLED 240 Hz,2560 X 1600 (WQXGA),"16""",MUX Switch + NVIDIA Advanced Optimus,1 TB M.2 NVMe PCIe 4.0 SSD,1080P FHD IR Camera,1.85 kg ( 4.08 lb ),https://www.jarir.com/sa-en/asus-laptops-641091.html
Gaming Laptop,MSI Cyborg,,,Dynaudio Sound 2X 2W Speakers with Passive Radiator,Black,Wi-Fi/Bluetooth,P-core: 2.4 - 4.9 GHz/E-core: 1.8 - 3.6 GHz,Intel Core i7-13620H (13th Gen),24%,NVIDIA GeForce RTX 4060 (8 GB),Windows 11 Home,HDMI 2.1/USB 3.2/USB-C 3.2 (DisplayPort)/RJ-45,16 GB RAM,5799.0,2024,4399.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,1 TB SSD,HD Webcam,1.98 kg ( 4.37 lb ),https://www.jarir.com/sa-en/msi-cyborg-15-laptops-638294.html
Gaming Laptop,Acer Nitro,,,Built-in Mic/Speakers,Black,Wi-Fi/Bluetooth,2.0 GHz,Intel Core i5-12450H (12th Gen),33%,NVIDIA GeForce RTX 2050 (4 GB),Windows 11,HDMI 2.1/USB 2.0/USB 3.1/USB-C,8 GB RAM,2999.0,2024,1999.0,FHD-LED 144 Hz,1920 X 1080 (FHD),"15.6""",RGB Keyboard,512 GB SSD,720p HD Camera,2.10 kg ( 4.63 lb ),https://www.jarir.com/sa-en/acer-nitro-5-laptops-644114.html
Gaming Laptop,MSI Crosshair,Intel AI Boost up to 13 TOPS,AI Enabled,"Nahimic Sound, 2 X 2W Speakers",Cosmos Grey,Wi-Fi/Bluetooth,P-core: 2.7 - 5.4 GHz/E-core: 2.1 - 4.6 GHz,Intel Core Ultra 9 275HX,11%,NVIDIA GeForce RTX 5070Â (8 GB),Windows 11 Home,HDMI 2.1/USB 3.2/Thunderbolt 4 (DisplayPort/PD 3.0)/RJ-45/Audio Combo Port,16 GB RAM,8999.0,2025,7999.0,QHD+ 240 Hz Display,2560 X 1600 (QHD),"17""",24-Zone RGB Gaming Keyboard,1 TB NVMe PCIe Gen 4Ã4 SSD,,2.80 kg ( 6.17 lb ),https://www.jarir.com/sa-en/msi-crosshair-laptops-655716.html
Gaming Laptop,MSI Thin,,,Built-in Dual Speakers (2 X 2W),Cosmos Grey,Wi-Fi/Bluetooth,2.4 GHz,Intel Core i7-13620H (13th Gen),25%,NVIDIA GeForce RTX 3050 (4 GB),Windows 11 Home,HDMI/USB 3.2/USB-C (DisplayPort)/RJ-45,16 GB RAM,3999.0,2024,2999.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",Blue Backlit Gaming Keyboard,512 GB NVMe PCIe SSD Gen 4x4,HD Webcam,1.86 kg ( 4.10 lb ),https://www.jarir.com/sa-en/msi-thin-15-laptops-645400.html
Gaming Desktop CPU,Acer Predator,Intel AI Boost,AI Enabled,,Black,Wi-Fi/Bluetooth,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9 285K,5%,NVIDIA GeForce RTX 5080 (16 GB),Windows 11,HDMI 2.1/DisplayPort/USB 2.0/USB 3.2/USB-C,64 GB RAM,18499.0,,17499.0,,,,,2 TB SSD,,31.15,https://www.jarir.com/sa-en/acer-predator-orion-7000-cpu-649807.html
Gaming Laptop,Asus ROG Strix,,,"2 Speakers with Smart Amplifier Technology, Dolby Atmos",Eclipse Grey,Wi-Fi (6E)/Bluetooth (5.3),2.2 - 5.8 GHz,Intel Core i9-14900HX (14th Gen),16%,NVIDIA GeForce RTX 4060 (8 GB),Windows 11 Home,HDMI 2.1/USB 3.2/USB-C 3.2/Thunderbolt 4/RJ-45/3.5 mm Combo Audio Jack,16 GB RAM,7499.0,2024,6299.0,FHD-LED Display 165 Hz,1920 X 1200 (FHD+),"16""","AI Noise Canceling, Backlit Chiclet Keyboard 4-Zone RGB",1 TB M.2 NVMe PCIe 4.0 SSD,720p HD Camera,2.50 kg ( 5.51 lb ),https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-635917.html
Gaming Desktop CPU,Acer Predator,Intel AI Boost,AI Enabled,,Black,Wi-Fi/Bluetooth,P-core: 2.4 - 5.2 GHz/E-core: 1.8 - 4.6 GHz,Intel Core Ultra 7 265F,8%,NVIDIA GeForce RTX 5070 (12 GB),Windows 11,HDMI 2.1/DisplayPort/USB 2.0/USB 3.2/USB-C,64 GB RAM,11999.0,,10999.0,,,,,1 TB SSD,,30.18,https://www.jarir.com/sa-en/acer-predator-orion-5000-cpu-649808.html
Gaming Laptop,MSI Thin,,,Dynaudio Sound 2X 2W Speakers with Passive Radiator,Black,Wi-Fi/Bluetooth,2.4 GHz,Intel Core i7-13620H (13th Gen),20%,NVIDIA GeForce RTX 4050 (6 GB),Windows 11 Home,HDMI/USB 3.2/USB-C (DisplayPort)/RJ-45,16 GB RAM,4499.0,2024,3599.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,512 GB NVMe PCIe SSD Gen 4x4,FHD Webcam,1.86 kg ( 4.10 lb ),https://www.jarir.com/sa-en/msi-thin-15-laptops-638295.html
Gaming Laptop,Asus TUF Gaming,,,Built-in Mic/Speakers,Graphite Black,Wi-Fi/Bluetooth,3.3 GHz,AMD Ryzen 5-7535HS,21%,NVIDIA GeForce RTX 3050 (4 GB),Windows 11 Home,HDMI/USB 3.2/USB-C 3.2/RJ-45,8 GB RAM,3199.0,2024,2499.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",Backlit Chiclet Keyboard 1-Zone RGB,512 GB PCIe NVMe M.2 SSD,720p HD Camera,2.30 kg ( 5.07 lb ),https://www.jarir.com/sa-en/asus-fx507z4hn132w-laptops-648712.html
Gaming Laptop,Acer Nitro,,,Built-in Speakers/Mic,Black,Wi-Fi/Bluetooth,4.1 GHz,Intel Core i9-13900H (13th Gen),11%,NVIDIA GeForce RTX 4060 (8 GB),Windows 11,HDMI 2.1/USB 2.0/USB 3.1/USB-C,16 GB RAM,5199.0,2024,4599.0,FHD IPS 165 Hz Display,1920 X 1080 (FHD),"15.6""",,1 TB SSD,720p HD Camera,2.10 kg ( 4.63 lb ),https://www.jarir.com/sa-en/acer-nitro-v-laptops-649879.html
Gaming Laptop,Lenovo LOQ,,,2 X 2W Optimized with Nahimic Audio,Luna Grey,Wi-Fi/Bluetooth,P-core: 2.6 - 4.9 GHz/E-core: 1.9 - 3.6 GHz,Intel Core i7-13650HX (13th Gen),15%,NVIDIA GeForce RTX 4050 (6 GB),Windows 11 Home,HDMI 2.1(8K@60Hz)/USB 3.2/USB-C (DisplayPort 1.4)/RJ-45/Audio Combo Port,24 GB RAM,4399.0,2024,3699.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,512 GB NVMe M.2 SSD,FHD 1080p with E-shutter,2.38 kg ( 5.25 lb ),https://www.jarir.com/sa-en/lenovo-loq-laptops-641552.html
Gaming Laptop,Asus TUF Gaming,,,"AI Noise Cancelling, Dolby Atmos",Mecha Grey,Wi-Fi (6)/Bluetooth (5.3),3.1 GHz,AMD Ryzen 7-7435HS,12%,NVIDIA GeForce RTX 4060 (8 GB),Windows 11 Home,HDMI 2.1/USB 3.2/USB-C 3.2/RJ-45/3.5 mm Combo Audio Jack,16 GB RAM,4999.0,2024,4399.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",Backlit Chiclet Keyboard 1-Zone RGB,1 TB M.2 NVMe PCIe 4.0 SSD,720p HD Camera,2.20 kg ( 4.85 lb ),https://www.jarir.com/sa-en/asus-laptops-637823.html
Gaming Laptop,Asus TUF Gaming,,,"2 Speaker System, DTS Software",Graphite Black,Wi-Fi (6)/Bluetooth (5.3),3.1 GHz,AMD Ryzen 7-7435HS,20%,NVIDIA GeForce RTX 2050 (4 GB),Windows 11 Home,HDMI 2.1/USB 3.2/USB-C 3.2/RJ-45/Audio Combo Port,8 GB RAM,2999.0,2024,2399.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",Backlit Chiclet Keyboard 1 Zone RGB,512 GB NVMe M.2 SSD,720p HD Camera,2.30 kg ( 5.07 lb ),https://www.jarir.com/sa-en/asus-laptops-635998.html
Gaming Desktop CPU,Acer Nitro,Intel AI Boost,AI Enabled,,Black,Wi-Fi/Bluetooth,P-core: 2.4 - 5.2 GHz/E-core: 1.8 - 4.6 GHz,Intel Core Ultra 7 265F,9%,NVIDIA GeForce RTX 4060 (8 GB),Windows 11,HDMI 2.1/DisplayPort/USB 2.0/USB 3.2/USB-C,32 GB RAM,6399.0,,5799.0,,,,,1 TB SSD,,25.2,https://www.jarir.com/sa-en/acer-nitro-n50-cpu-649809.html
Gaming Laptop,Lenovo LOQ,,,2 X 2W Optimized with Nahimic Audio,Luna Grey,Wi-Fi/Bluetooth,2.0 GHz,Intel Core i5-12450HX (12th Gen),13%,NVIDIA GeForce RTX 2050 (4 GB),Windows 11 Home,HDMI 2.1(8K@60Hz)/USB 3.2/USB-C (DisplayPort 1.4)/RJ-45/Audio Combo Port,12 GB RAM,2999.0,2024,2599.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,512 GB NVMe M.2 SSD,720p HD with E-shutter,2.38 kg ( 5.25 lb ),https://www.jarir.com/sa-en/lenovo-loq-laptops-641553.html
Gaming Laptop,Lenovo LOQ,,,2 X 2W Optimized with Nahimic Audio,Luna Grey,Wi-Fi/Bluetooth,P-core: 2.1 - 5.5 GHz/E-core: 1.5 - 3.9 GHz,Intel Core i7-14700HX (14th Gen),10%,NVIDIA GeForce RTX 4060 (8 GB),Windows 11 Home,HDMI 2.1(8K@60Hz)/USB 3.2/USB-C (DisplayPort 1.4)/RJ-45/Audio Combo Port,16 GB RAM,4999.0,2024,4499.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,1 TB M.2 NVMe PCIe 4.0 SSD,FHD 1080p with E-shutter,2.38 kg ( 5.25 lb ),https://www.jarir.com/sa-en/lenovo-loq-laptops-641551.html
Gaming Laptop,HP Victus,,,"DTS:X Ultra, Dual Speakers, HP Audio Boost, HyperX",Mica Silver,Wi-Fi (6E)/Bluetooth (5.3),P-core: 2.4 - 4.8 GHz/E-core: 1.8 - 3.5 GHz,Intel Core i5-14450HX (14th Gen),,NVIDIA GeForce RTX 3050 (6 GB),Windows 11 Home,HDMI/USB/USB-C (DisplayPort 1.4)/RJ-45/Audio Combo Port,16 GB RAM,4999.0,2024,,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"16.1""","Backlit Keyboard, Low Blue Light",1 TB PCIe NVMe M.2 SSD,True Vision FHD Webcam,2.31 kg ( 5.09 lb ),https://www.jarir.com/sa-en/hp-victus-laptops-634894.html
Gaming Laptop,Asus TUF Gaming,,,"AI Noise Cancelling Tech, DTS Software",Graphite Black,Wi-Fi (6)/Bluetooth (5.3),3.1 GHz,AMD Ryzen 7-7435HS,11%,NVIDIA GeForce RTX 3050 (4 GB),Windows 11 Home,HDMI 2.1/USB 3.2/USB-C 3.2/RJ-45/3.5 mm Combo Audio Jack,16 GB RAM,3599.0,2024,3199.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,512 GB NVMe M.2 SSD,720p HD Camera,2.30 kg ( 5.07 lb ),https://www.jarir.com/sa-en/asus-laptops-637826.html
Gaming Laptop,HP Victus,,,"Bang & Olufsen Dual Speakers, HP Audio Boost",Mica Silver,Wi-Fi/Bluetooth,P-core: 2.4 - 5.0 GHz/E-core: 1.8 - 3.7 GHz,Intel Core i7-13700H (13th Gen),,NVIDIA GeForce RTX 4050 (6 GB),Windows 11,HDMI/USB 3.1/USB-C/RJ-45/Audio Combo Port,16 GB RAM,5999.0,2023,,FHD IPS AG 250N,1920 X 1080 (FHD),"15.6""",,1 TB PCIe NVMe M.2 SSD,Wide Vision HD Webcam,2.20 kg ( 4.85 lb ),https://www.jarir.com/sa-en/hp-victus-laptops-616016.html
Gaming Laptop,,,,,Black,Wi-Fi (7)/Bluetooth (5),2.2 - 5.8 GHz,Intel Core i9-14900HX (14th Gen),,NVIDIA GeForce RTX 4080 (12 GB),Windows 11,HDMI 2.1/USB 2.0/USB 3.1/USB-C,32 GB RAM,12499.0,2024,,WQXGA IPS 240 Hz,2560 X 1600,"16""","Aero Blade 5th Gen Fans, 4 Zone RGB Keyboard",1 TB SSD,FHD Webcam,2.20 kg ( 4.85 lb ),https://www.jarir.com/sa-en/acer-helios-ph16-72-9467-laptops-635227.html
Gaming Laptop,HP Victus,,,"B&O PLAY, Dual Speakers, HP Audio Boost",Performance Blue,Wi-Fi (6)/Bluetooth (5.3),5.1 GHz,AMD Ryzen 7-7840HS,,NVIDIA GeForce RTX 4060 (8 GB),Windows 11 Home,HDMI 2.1/USB/USB-C/RJ-45/Audio Combo Port,32 GB RAM,7299.0,2024,,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"16.1""","Backlit Keyboard with Numeric Keypad, Low Blue Light",1 TB PCIe NVMe M.2 SSD,True Vision FHD Webcam,2.33 kg ( 5.14 lb ),https://www.jarir.com/sa-en/hp-16-s0004nx-laptops-634895.html
Gaming Laptop,HP OMEN,,,"DTS:X Ultra, Dual Speakers, HP Audio Boost, HyperX",Shadow Black,Wi-Fi (6E)/Bluetooth (5.3),5.5 GHz,Intel Core i7-14700HX (14th Gen),,NVIDIA GeForce RTX 4060 (8 GB),Windows 11 Home,HDMI 2.1/USB/USB-C (Thunderbolt 4/DisplayPort 1.4)/RJ-45/Audio Combo Port,32 GB RAM,8499.0,2024,,QHD-IPS Display,2560 X 1440 (QHD),"16.1""","4-zone RGB Backlit, Low Blue Light",1 TB PCIe NVMe M.2 SSD,True Vision FHD Webcam,2.39 kg ( 5.27 lb ),https://www.jarir.com/sa-en/hp-omen-laptops-634919.html
Gaming Desktop CPU,HP OMEN,,,,Black,Wi-Fi/Bluetooth,5.6 GHz,Intel Core i7-14700K (14th Gen),,NVIDIA GeForce RTX 4070 Super (12 GB),Windows 11 Home,HDMI/DisplayPort/USB/USB-C/RJ-45/Audio (In/Out),64 GB RAM,11999.0,,,,,,,1 TB PCIe NVMe TLC SSD,,27.37,https://www.jarir.com/sa-en/hp-omen-cpu-635737.html
Gaming Laptop,HP Victus,,,,Mica Silver,Wi-Fi/Bluetooth,P-core: 2.2 - 5.2 GHz/E-core: 1.6 - 3.7 GHz,Intel Core i7-14650HX (14th Gen),,NVIDIA GeForce RTX 4050 (6 GB),Windows 11,,16 GB RAM,6499.0,2024,,FHD-IPS Anti-glare,1920 X 1080 (FHD),"16.1""",,1 TB PCIe Gen4,FHD 1080p with Privacy Shutter,2.33 kg ( 5.14 lb ),https://www.jarir.com/sa-en/hp-victus-laptops-646603.html
Gaming Laptop,Raider,,,"4 Audio Speaker, 2 Audio Woofer",Black,Wi-Fi/Bluetooth,2.2 GHz,Intel Core i9-14900HX (14th Gen),26%,NVIDIA GeForce RTX 4090 (16 GB),Windows 11 Home,HDMI 2.1/USB 3.2/USB-C (Thunderbolt 4)/RJ-45,32 GB RAM,18999.0,2024,13999.0,QHD+ 240 Hz Display,2560 X 1600 (QHD),"18""",,2 TB NVMe PCIe Gen 4Ã4 SSD,1080P FHD IR Camera,3.60 kg ( 7.94 lb ),https://www.jarir.com/sa-en/msi-raider-18-hx-laptops-641142.html
Gaming Laptop,MSI Stealth,Intel AI Boost,AI Enabled,"Nahimic Sound, 2 X 2W Speakers",Star Blue,Wi-Fi (7)/Bluetooth,1.4 GHz,Intel Core Ultra 7 155H,30%,NVIDIA GeForce RTX 4060 (8 GB),Windows 11 Home,HDMI 2.1 (8K@60Hz/4K@120Hz)/USB 3.2/USB-C (DisplayPort),16 GB RAM,6799.0,2024,4699.0,OLED 120 Hz DisplayHDR 500 (VESA Certified),2880 X 1800 (OLED),"14""",,1 TB PCIe 4.0 NVMe M.2 SSD,FHD IR Camera,1.70 kg ( 3.75 lb ),https://www.jarir.com/sa-en/msi-stealth-14-laptops-641154.html
Gaming Laptop,Lenovo Legion,,,Harman Speakers with Nahimic Audio,Eclipse Black,Wi-Fi/Bluetooth,2.2 GHz,Intel Core i9-14900HX (14th Gen),19%,NVIDIA GeForce RTX 4070 (8 GB),Windows 11 Home,HDMI/USB 3.2/USB-C (DisplayPort 1.4)/Audio Combo Port,32 GB RAM,10499.0,2023,8499.0,3.2K IPS 165 Hz,3200 X 2000,"16""",,1 TB PCIe NVMe M.2 SSD,FHD Webcam,2.00 kg ( 4.41 lb ),https://www.jarir.com/sa-en/lenovo-legion-7-laptops-628026.html
Gaming Laptop,Acer Nitro,,,Built-in Mic/Speakers,Black,Wi-Fi/Bluetooth,2.5 GHz,Intel Core i9-12900H (12th Gen),32%,NVIDIA GeForce RTX 4060 (8 GB),Windows 11,HDMI 2.1/USB 2.0/USB 3.1/USB-C,16 GB RAM,5499.0,2024,3699.0,FHD-LED 144 Hz,1920 X 1080 (FHD),"15.6""",RGB Keyboard,1 TB SSD,720p HD Camera,2.10 kg ( 4.63 lb ),https://www.jarir.com/sa-en/acer-nitro-5-laptops-644112.html
Gaming Laptop,Asus ROG Republic of Gamers,,,4 Speakers with Smart Amp Technology,Eclipse Grey,Wi-Fi (6E)/Bluetooth (5.3),2.2 GHz,Intel Core i9-14900HX (14th Gen),16%,NVIDIA GeForce RTX 4080 (12 GB),Windows 11 Home,HDMI 2.1/USB 3.2/USB-C 3.2 (DisplayPort)/Thnuderbolt 4/Audio Combo Port,32 GB RAM,12499.0,2024,10499.0,QHD+ 240 Hz Display,2560 X 1600 (WQXGA),"16""","Backlit Chiclet Keyboard Per Key RGB, AI Noise Canceling",1 TB M.2 NVMe PCIe 4.0 SSD,720p HD Camera,2.50 kg ( 5.51 lb ),https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-635115.html
Gaming Laptop,MSI Katana,,,Dynaudio Sound 2 X 2W Speakers with Passive Radiator,Black,Wi-Fi/Bluetooth,P-core: 2.6 - 5.4 GHz/E-core: 1.9 - 4.1 GHz,Intel Core i9-13900H (13th Gen),20%,NVIDIA GeForce RTX 4070 (8 GB),Windows 11 Home,HDMI 2.1/USB 3.2/USB-C 3.2 (DisplayPort)/RJ-45,16 GB RAM,7499.0,2024,5999.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,1 TB NVMe PCIe Gen 4Ã4 SSD,FHD Webcam,2.25 kg ( 4.96 lb ),https://www.jarir.com/sa-en/msi-katana-15-laptops-638292.html
